LTspice 24.0.12 for Windows
Changing Tseed to 1e-13
Changing Tseed to 1e-06
Changing Tseed to 1e-14
Changing Tseed to 1e-05
Changing Tseed to 1e-15
Changing Tseed to 0.0001
Changing Tseed to 1e-16
+Changing Tseed to 1e-09
Changing Tseed to 1e-11
Changing Tseed to 1e-08
Changing Tseed to 1e-12
Changing Tseed to 1e-07
Changing Tseed to 1e-13
Changing Tseed to 1e-06
Changing Tseed to 1e-14
Changing Tseed to 1e-05
Changing Tseed to 1e-15
Changing Tseed to 0.0001
Changing Tseed to 1e-16
+Changing Tseed to 1e-09
Changing Tseed to 1e-11
Changing Tseed to 1e-08
Changing Tseed to 1e-12
Changing Tseed to 1e-07
Changing Tseed to 1e-13
Changing Tseed to 1e-06
Changing Tseed to 1e-14
Changing Tseed to 1e-05
Changing Tseed to 1e-15
Changing Tseed to 0.0001
Changing Tseed to 1e-16
+Changing Tseed to 1e-09
Changing Tseed to 1e-11
Changing Tseed to 1e-08
Changing Tseed to 1e-12
Changing Tseed to 1e-07
Changing Tseed to 1e-13
Changing Tseed to 1e-06
Changing Tseed to 1e-14
Changing Tseed to 1e-05
Changing Tseed to 1e-15
Changing Tseed to 0.0001
Changing Tseed to 1e-16
+Changing Tseed to 1e-09
Changing Tseed to 1e-11
Changing Tseed to 1e-08
Changing Tseed to 1e-12
Changing Tseed to 1e-07
Changing Tseed to 1e-13
Changing Tseed to 1e-06
Changing Tseed to 1e-14
Changing Tseed to 1e-05
Changing Tseed to 1e-15
Changing Tseed to 0.0001
Changing Tseed to 1e-16
+Changing Tseed to 1e-09
Changing Tseed to 1e-11
Changing Tseed to 1e-08
Changing Tseed to 1e-12
Changing Tseed to 1e-07
Changing Tseed to 1e-13
Changing Tseed to 1e-06
Changing Tseed to 1e-14
Changing Tseed to 1e-05
Changing Tseed to 1e-15
Changing Tseed to 0.0001
Changing Tseed to 1e-16
+to 1.125e-10
N-Period=10.00
Fourier components of V(lo_sine)
DC component:-0.000437426

Harmonic	Frequency	 Fourier 	Normalized	 Phase  	Normalized
 Number 	  [Hz]   	Component	 Component	[degree]	Phase [deg]
    1   	 1.000e+3	 2.558e-5	 1.000e+0	  164.48°	    0.00°
    2   	 2.000e+3	 3.202e-5	 1.252e+0	 -177.90°	 -342.37°
    3   	 3.000e+3	 2.943e-5	 1.151e+0	 -168.46°	 -332.94°
    4   	 4.000e+3	 2.452e-5	 9.587e-1	 -163.88°	 -328.36°
    5   	 5.000e+3	 1.077e-4	 4.210e+0	  -44.43°	 -208.91°
    6   	 6.000e+3	 2.857e-5	 1.117e+0	 -151.87°	 -316.35°
    7   	 7.000e+3	 3.073e-5	 1.202e+0	 -149.59°	 -314.06°
    8   	 8.000e+3	 2.765e-5	 1.081e+0	 -148.58°	 -313.06°
    9   	 9.000e+3	 2.356e-5	 9.209e-1	 -141.35°	 -305.83°
   10   	 1.000e+4	 5.488e-5	 2.146e+0	   16.91°	 -147.57°
Partial Harmonic Distortion: 555.387775%
Total Harmonic Distortion:   1885917.335709%


N-Period=10.00
Fourier components of V(lo_cosine)
DC component:-0.000451306

Harmonic	Frequency	 Fourier 	Normalized	 Phase  	Normalized
 Number 	  [Hz]   	Component	 Component	[degree]	Phase [deg]
    1   	 1.000e+3	 1.640e-4	 1.000e+0	   13.69°	    0.00°
    2   	 2.000e+3	 1.330e-4	 8.110e-1	    3.82°	   -9.87°
    3   	 3.000e+3	 1.320e-4	 8.053e-1	    0.43°	  -13.27°
    4   	 4.000e+3	 1.514e-4	 9.233e-1	   -2.20°	  -15.89°
    5   	 5.000e+3	 3.992e-4	 2.434e+0	   -2.04°	  -15.73°
    6   	 6.000e+3	 1.599e-4	 9.752e-1	   -5.15°	  -18.85°
    7   	 7.000e+3	 1.635e-4	 9.969e-1	   -4.65°	  -18.34°
    8   	 8.000e+3	 1.607e-4	 9.803e-1	   -4.28°	  -17.97°
    9   	 9.000e+3	 1.649e-4	 1.005e+0	   -0.08°	  -13.77°
   10   	 1.000e+4	 3.830e-4	 2.336e+0	    0.38°	  -13.31°
Partial Harmonic Distortion: 417.840773%
Total Harmonic Distortion:   309418.651798%


Total elapsed time: 11.021 seconds.

