985 812771
-8707 -9832 527099
-1684 -3937 870532
2567 4351 891120
-6028 -1609 659723
-5666 -2454 573289
7365 1253 196288
-4352 8195 225457
-8990 5680 599792
4039 -1438 745261
7511 -9875 863180
6937 -6309 972367
-1845 -206 737355
-3094 1255 937638
200 1492 730532
4017 2621 783062
3691 4213 682642
-8392 7525 379173
-5071 -325 74400
4046 -958 962276
1214 9507 433865
-2309 -2625 663210
-8584 -1096 362765
-4212 6818 306796
-2288 -4063 690248
186 533 295860
8687 -9309 1783
8886 4195 909386
-338 6442 81010
-3713 -3138 567967
-9463 -9433 77851
-7848 353 44709
-1841 -2933 761232
-3711 6425 731768
7380 -3948 472729
-8675 4798 197253
6591 -1857 438499
1597 1499 841388
3111 -2296 943322
7321 6996 853951
7143 -7763 889380
-7592 3699 129325
2393 2254 707558
-2873 7818 70393
8604 4185 726487
-1020 9045 376668
-4040 1168 324847
-5578 714 841391
-1754 3652 954267
5066 1321 812313
-7316 6697 549584
-8331 9942 38046
-995 6307 578584
-4625 -9069 754725
-3489 2026 505046
9946 4274 470559
1111 9175 246908
-7880 3052 727901
-559 3399 561132
-8842 -175 224771
3745 7220 672701
8866 3031 992230
-4547 -9013 770263
3907 3960 322928
8504 8720 15845
9217 -7670 510035
-8942 -3106 406280
-8755 5372 805460
2591 -5140 790913
-4210 -2543 579713
-1972 -8071 510381
7829 3665 837676
-5961 1689 297723
931 -744 639101
236 6958 700996
3414 2234 731267
6243 2260 523585
5004 -6235 874019
5582 4196 458084
4047 8465 630911
4459 -7867 588119
9861 -7112 908107
580 -4943 680923
162 -9303 119913
3439 -4009 590387
-5696 2682 516823
1659 6959 478837
-3434 -2651 390178
5340 -4820 879047
-3677 9193 253464
-8400 4538 36237
-9404 2992 866777
-1153 -7160 880537
-708 4441 291174
-7888 -6503 803049
9829 645 123786
9119 -26 934947
-1804 6101 751323
9434 -3431 543819
-1831 9144 407331
-9879 9656 552754
5194 280 200439
-7191 -1399 189816
-1175 1193 207116
-7526 5129 594282
-5845 3030 736373
-4451 112 147112
3984 8387 357930
-2995 3653 626588
-7748 -3465 758669
5582 5379 68913
-2232 -4580 847135
-8241 -2921 883638
-9657 5277 642890
-8970 2363 18130
-3047 2800 639512
-757 -4514 455398
4652 9468 409043
6028 -2086 809896
8039 6906 556719
-5895 -973 350077
6619 -4462 931151
1273 -4922 885945
8572 -4826 767243
-4130 9884 306133
-9543 6949 578967
8159 -2476 930726
1149 -912 877898
7161 9121 196034
5956 -8675 532877
-755 -2558 578086
4886 9341 707900
9305 -6837 424587
-2463 7904 701462
-2371 -7148 781845
8239 -1073 9972
-6886 9887 897714
5426 4265 172829
2820 246 214678
-9473 -5660 371627
3582 -8458 678982
8922 3031 972719
9165 -9217 251963
8110 -6111 772370
9825 -7456 396771
6179 2261 591535
5832 -9154 274498
-7993 -9892 419853
-5279 -3729 134090
-806 -9704 672710
-3395 150 99909
-4159 8719 471216
-8501 5289 956817
-2529 8175 176184
-4741 -6125 28374
9222 4953 606025
2438 -9514 221229
3573 5319 504453
2289 -5616 35478
5252 -9929 438587
-5637 5459 95614
-3513 -173 21971
-228 -9801 477530
-1869 8289 731515
-8634 3254 810941
-6962 4187 57121
6747 4753 269730
-2538 6864 630684
1231 3715 295808
1617 3349 5914
-8590 -6276 914979
4450 7283 561891
5071 -3651 658797
6219 1498 960562
3054 5147 480790
-1360 1920 595680
-5032 -4964 585866
9040 -6199 719431
296 -4613 470183
-781 4303 22794
-8241 -231 272312
-8886 -5171 163155
-114 4568 711675
7323 4216 326814
-6652 5928 391167
-1991 -1085 224979
1710 -6952 24600
9801 2737 573272
2239 -515 451450
6913 5882 909664
-5449 3798 70223
8012 -8816 671455
-8353 -9067 311148
-3028 7236 622888
-8102 -4700 799895
-7171 -6536 963172
-1006 3685 447812
6824 1005 851271
6757 -7649 118898
-1456 -8670 51311
1640 -5802 492736
2044 6476 303821
8758 9619 774444
3140 -1723 724300
2186 -6601 615504
-623 -5294 940752
-6878 4587 450080
2781 8902 292618
8342 6034 234404
-5902 -2526 19499
8954 1714 284785
-1269 -9157 17547
-2733 8408 279225
-7603 6551 458556
7259 4385 543873
867 1745 387149
-5801 1172 313381
2737 -6032 289014
5402 -2280 400441
8279 -6672 143895
-9651 9214 788110
8091 9334 272695
7360 9232 760977
-6802 -833 483002
-4571 6526 106921
4042 -7036 520400
-215 -2670 910793
-8520 5060 786124
9445 8828 686462
6493 -3705 915051
3084 1684 63043
5819 -9814 924529
-1700 -1105 815922
-2937 -9124 830250
-1432 5936 863475
-4719 -5352 828694
7824 7992 360141
-5617 -9043 396591
-5127 6978 104855
-8726 -3715 443864
-5542 2605 756535
4422 131 829979
-7802 -5736 216899
4045 -398 707641
3003 9172 899098
4025 6430 609996
-5450 -2562 451095
2125 -8030 305125
5697 3573 91503
2723 -2934 469650
6212 6312 674867
-8800 -3848 79489
-3953 -3724 416857
141 -6332 14497
-6111 -3677 706955
2483 6373 550918
-7296 411 138840
-6974 -2151 251432
-5141 -633 190147
7676 5619 18390
479 -3975 669337
-8408 -4733 491783
-5392 -9688 331259
1870 9467 734905
-9556 9936 489437
-5598 -1964 100748
2638 -666 60956
-5319 -8802 441220
-3392 -3007 629241
793 -6814 762175
-5074 6795 505263
3931 5868 864039
-8695 -3889 700061
9348 9255 760562
3007 4694 6390
7176 -267 146122
6743 1174 147002
4570 7613 173779
2903 7504 268587
5567 3686 543361
-6599 -5358 369964
-420 3447 383214
-6015 7713 597917
5498 2600 768006
-2877 -1592 827268
-2746 -7903 292737
-1822 -4594 695589
-4671 5656 690592
-5145 1296 936818
-8391 -8931 878854
705 -8053 476972
4739 -1443 19905
3688 -2496 830809
1226 -5116 725742
-8243 -8454 648549
2483 -2948 476642
7994 3571 302432
7198 2584 440912
-2181 1676 409113
7378 -8791 694533
-3114 -5949 978024
8995 -1971 655861
-963 9034 867004
-2952 -4550 868149
-2466 -615 842784
-4665 9604 715745
-9337 -2173 909665
2292 -2750 58336
-4985 6795 157886
2393 9591 471422
8752 6907 208839
7450 1753 406645
9319 8292 630291
-2541 3672 599981
-9874 9399 807017
2306 7796 877715
8203 9795 187812
8438 -9654 759401
-6943 -8940 927582
-7116 -6867 458059
7748 -3013 26235
-5758 -2969 595822
-7020 -7457 494682
791 2342 40
799 -5616 245476
-9130 679 572813
9688 -7338 478575
3681 -5439 169812
-1436 -4496 294541
-6754 7593 823564
-5801 -3429 288192
6668 -6644 658579
-5853 5392 340791
-1787 4320 678355
-6606 3252 244945
7764 6630 991861
9289 5187 267958
-259 9161 506374
-2972 -2168 316958
9829 3735 245346
-6199 4671 878688
5353 2893 555965
2881 -4092 715714
-2966 -9212 244948
-4933 1003 726680
-9761 -267 282336
1155 3795 72979
-1813 -7895 763356
-5887 987 479176
-6705 447 34547
-5220 -4462 964106
6840 -2610 409025
-5248 -7291 866752
-6289 -3801 510183
6468 -3399 48383
8729 8340 177709
9628 -9626 334455
-671 -9020 387304
-4538 74 520649
170 5157 941214
7251 -2133 45623
-3075 9382 691061
-9730 2129 512473
9199 4369 41489
-170 -2626 991422
-1925 -4501 958805
-8408 -2723 321527
9857 -1899 663413
4469 -3160 17991
9028 -833 307577
-2416 -2665 842278
3863 8296 638286
5635 1977 68288
-1024 1700 394691
4441 7062 838727
-5547 -9812 136095
2484 848 296292
8980 4689 742159
-5634 -3748 181353
-9493 -1566 564210
4047 1885 165775
-8998 5361 356838
3184 1324 835744
-3321 6004 857708
-8384 -4052 824892
-6651 7368 417245
-8292 5262 8129
-9965 4430 223951
-6010 6533 610395
-827 2279 529155
4964 32 958892
1218 -2955 704874
-6595 1694 709128
7921 9459 634907
-5424 8204 241393
-5086 2894 737175
2513 1323 459239
-5696 -8288 264109
-3839 -7448 151081
-3767 -6806 748805
138 -1048 774871
2199 5813 551703
1054 4349 727741
-766 -6887 297978
4857 4529 983320
-4152 -1600 185051
-209 3866 477025
1571 -951 197662
1879 4160 961183
-8735 7094 375278
9743 3680 209856
-3359 2198 620272
-5412 -7335 913370
-6691 -3882 337246
-505 1983 488443
-4784 -1988 79678
1426 -6372 721973
9536 -4203 334922
618 -487 224600
-507 8664 34839
1225 4674 575385
-7021 -2506 156601
4935 1601 521029
699 8271 145597
3738 -5052 31607
-3996 1315 924727
-3373 9239 54511
-8407 -1356 261736
2031 -5462 25848
-6993 -7429 456613
-9589 -7772 925777
9420 -6179 887354
-1685 -404 20288
8462 -1748 785463
4752 8361 48257
-9482 5208 506248
273 8728 204655
-8246 -8618 136367
4396 -9530 904850
-1827 6493 970997
-3506 -2556 340406
-8816 -4300 868087
-3732 6196 566558
8572 3132 915786
2878 6291 544037
6372 8774 280499
2560 8295 763117
7436 -9988 355881
-2634 -2216 736968
8760 -2344 592105
-8253 -2905 99585
5534 -2071 451209
9702 2487 771850
-5762 2827 453433
-8451 -8691 860128
2498 7646 684758
9751 -7132 790110
5676 7502 532499
6562 -9481 980060
-9700 -226 87260
273 6706 21036
4082 -2744 128259
3187 -313 22276
2021 -8439 755758
483 -651 941347
2064 4160 456923
-1834 4099 308946
3204 8338 334660
-3017 2501 474568
2683 -8556 707177
1525 -299 188363
7773 8794 986549
-17 716 950371
-1217 -6926 677213
599 -132 692459
-4586 5468 711582
3136 -1005 873274
3436 -2097 153274
-2002 5671 429734
-2832 890 413886
-2616 -877 411184
2516 4200 770983
-6524 -2742 497182
1397 -4376 614648
-7702 -339 708115
-495 6089 200154
7070 -7306 317234
-1356 2640 250716
-6301 6501 619010
-5690 2362 798797
-9749 -1178 469620
-2141 -2082 510207
7369 4846 387257
-9255 1050 182990
5653 4433 790826
8679 7936 435199
-4809 4215 277521
-8967 -3831 314425
-8847 8538 231171
8223 1275 985523
4108 -1843 327103
-2749 -7683 371541
-2994 2676 822965
-7689 7325 265158
7327 1609 281056
-4516 -9648 123213
-3794 1223 828145
3973 5522 160514
-530 9665 808432
-3322 -8829 22818
3866 8680 828801
-1244 -1566 449650
-8193 5608 459316
9944 8234 498430
7450 -252 867568
-247 -5636 400921
-8544 -8423 154833
-6160 -8311 16102
465 2184 272703
7620 -4399 314279
-6520 2715 729881
-7706 5126 21061
9840 7864 987023
1157 1990 400332
-1511 -5387 694214
-1330 7554 203180
8606 34 825252
5662 -9144 902398
-8660 9454 322284
-2561 2008 266496
-6599 -5309 311390
-3606 5572 64767
5862 -5217 540309
8477 2362 188082
7820 7442 790953
2845 9971 495857
-6941 -6912 420037
3656 2778 534063
-6224 8089 41684
393 -3870 503050
9350 6561 861142
-5197 6339 286176
3447 7524 923380
-1842 -7313 887260
8615 -7345 818755
1005 4140 176711
-5542 -6180 751902
-7513 -2723 905172
6214 4881 29107
-9333 2347 74890
6484 -7199 99734
-8749 7998 31954
4870 1780 783575
-8489 -2488 22916
1022 2467 469141
-8807 -2907 922083
-567 -1806 880023
6048 9844 421355
2436 -1738 769023
-4377 -4115 631399
5301 8979 851556
4616 -2880 146386
4002 2759 466800
4106 -6034 169901
-5087 7187 823305
-9681 -1763 45206
-6423 -8434 903970
-77 -8953 312058
3705 -7799 60467
-4561 7046 15001
-4872 -9488 813443
7567 -9131 262830
-7379 5447 891473
-2302 -5121 634704
5372 -2659 137163
9343 2230 17172
-9239 -7466 168515
-6614 5555 113626
-6884 -9787 243714
-8979 -5285 657637
1263 2803 205413
9497 -886 520684
7516 1727 283904
4519 -531 426757
5925 1577 806154
-9848 8513 99589
1729 -8460 773901
-3144 -4112 442117
7767 -4410 441567
169 5304 765862
905 -6125 398186
-4879 -410 483866
-2514 -9948 532613
-235 88 240770
2722 1307 422684
51 -6805 293229
-8306 1250 982372
5039 -8781 282991
4287 5063 778451
-5454 7443 657625
1182 -6012 762187
27 -6409 505148
-4846 -121 191941
-7151 5576 181765
-9033 -9842 809833
-6204 -715 948792
-4874 -7824 889988
3350 -2679 172506
4706 -6657 300293
8932 7143 44195
7609 6084 329574
2838 7958 817204
3938 -9793 626219
-3808 -6617 168371
8336 -1554 313763
8907 6343 429909
-9557 794 252801
-2702 7879 768568
-8652 2740 644922
-572 4688 713655
5095 5869 520380
-4051 6737 355820
-6365 -6630 588879
-1607 1605 550523
-821 3166 745979
-4187 -3701 887914
-4055 1658 422616
-5329 -6930 942046
-8340 -5206 964850
-5454 -3688 211696
3416 9218 76477
7024 473 524443
-7492 -5849 116445
1242 2467 557671
-5548 -1150 577340
5447 -8675 984559
-5985 1379 135220
-6098 -6368 33217
-9205 -1592 856494
3868 5166 32998
-6615 -2446 723034
4381 -1940 384062
-7143 -429 615304
-9147 4054 235878
-3954 3253 500732
5049 -6171 974144
-169 -6048 445463
6455 -3532 162870
-1119 729 200819
-7378 7911 307499
-7051 -6157 640325
-6061 -9962 843633
8064 -3415 454554
5662 9466 969058
-2512 8446 293361
-1820 -4587 459039
-9393 6078 506844
2967 3879 956253
9047 -9435 520601
-482 724 362726
-407 7913 161695
3011 4034 961662
1206 -7241 977450
-2685 -947 342458
3267 6333 120726
-1637 -324 770788
-1487 3287 235855
-6949 2321 306812
-3035 4298 704111
843 40 123330
3639 -5680 5653
4495 3194 697746
1815 -6286 111116
-5078 5754 828094
402 -5173 819487
-6593 -408 78384
6970 2898 148699
6202 -2297 645644
709 -5777 717905
-952 -8359 875660
2080 -4485 852714
6997 -3680 501287
-2243 -5601 291849
-3 -1848 49685
-8093 3316 467437
-5018 5285 315789
5179 -2638 946936
9577 3667 560135
-2303 8882 530314
9243 6247 26403
5789 -6252 232936
-7527 2958 882946
-443 -7505 87197
2329 -2114 39117
-6597 4625 210641
8296 6248 130640
-4933 -5219 259635
-8615 2960 69076
3454 -8254 280727
-611 2182 410712
3572 2766 114492
556 8872 433368
-5442 630 149663
-2174 -5616 953013
9363 7982 900003
-4184 5673 299680
5546 927 113640
2717 1572 235700
4650 -395 206978
4161 7894 590168
-7231 9417 577227
8901 2828 279757
-8508 8524 953661
8407 -4773 388530
6935 8761 868347
-2599 -5071 230365
6274 -8897 339381
5212 -3204 306100
646 6423 702130
-9913 7353 909681
-6485 9474 823160
-2473 1566 520399
1958 -7392 427021
-1054 7817 337613
1526 -2300 103727
-4149 -9286 843544
2202 -8747 459852
6397 -7837 825216
9134 -8998 115706
7405 -7575 480359
86 -9884 319560
-598 -7370 336980
-5251 1986 669451
-8735 -978 983232
7933 1725 872112
-4916 -5084 732916
-7156 4812 491872
7053 2924 44829
1775 5190 754451
827 -3336 35108
-5916 51 672272
8787 -5319 353550
-422 -9516 819231
4976 3156 278085
-9263 -6134 679181
-1635 2590 683941
3103 2743 932024
2527 3096 809601
-3966 -8092 272321
-5561 1980 98715
-2156 8729 680431
8626 9875 289140
6957 2024 929761
-1293 9538 878807
2737 -6728 589917
8008 -209 412176
3898 7973 411778
-7545 6507 285662
1170 4820 447169
-1736 -9598 212226
657 -4951 326161
6415 2702 821669
-1093 -6454 719453
2408 -4667 96306
-6802 -2397 852719
6973 -4294 893659
299 8867 581771
-2342 -1472 824756
9585 8936 400496
-8122 2164 651095
-9712 -5197 295044
1749 8825 809939
-9812 3925 696873
8268 6696 172191
6983 -611 305599
8647 -2507 729693
-8971 -5178 813953
-6171 -2905 456064
5885 -4556 280522
-3952 -9579 434265
9498 9048 669986
9885 5426 179169
-2116 -71 146626
8560 -6440 566747
3078 6430 259726
-9324 6053 280684
-3021 -5720 991499
-5428 9071 232819
-9280 8179 422242
-6785 -2234 288436
-2183 -2028 869823
7900 4436 112883
5403 -278 712184
7482 4605 872656
4074 -6599 243901
3645 61 165590
3699 3488 968897
-6955 7108 341846
7867 -5869 208254
-5448 9496 474172
7681 -6318 267592
3966 -6855 171868
9229 6168 363557
-9803 5643 592975
-9356 -1744 505068
5799 3379 216706
-23 -7765 12203
-3173 7178 534765
8691 2749 277456
-7379 -8436 987898
6625 -9574 676945
-7996 4531 898057
-5393 9918 490790
-9670 -8999 319563
868 6452 223583
7282 -4738 394432
-8240 6977 557040
6033 5012 469318
6286 5465 365656
40 -9016 40506
-4776 -7145 275853
-7640 -6075 141540
-9012 545 729791
5297 8432 218706
-2189 7227 871945
2718 -9667 41662
8809 5538 607115
9441 -6972 707588
-1675 -7709 182696
3761 5374 474860
-5168 -6933 397001
-7713 -9827 466464
-6109 -2752 761538
-9250 8528 531022
-1694 -345 426872
-5191 4916 518935
229 -8790 62931
6750 9797 920768
6926 -1659 578263
1161 -268 768597
-8570 5495 144345
7562 3822 43184
8842 -7110 177052
7577 -6263 217247
8661 -2959 851051
2574 -7055 510509
-1341 7134 129180
148 -2601 611724
-1015 5040 91265
-6028 6398 447484
-9920 -3076 116996
-9039 -2994 327149
-4262 -8134 268970
-2596 9175 149453
2089 6370 777409
5223 881 99198
-5530 6437 532407
3291 3350 960655
9549 3837 209367
-9505 -6810 96771
