356 90107
-3977 -1793 405588
4254 1819 104644
-5706 -2091 664499
-3821 1605 638979
1353 6503 136021
-9201 -8954 585549
-7811 -121 780712
-8479 7600 222441
6658 -6229 63055
5726 -7058 711423
-9217 3546 70606
863 -1504 943746
-285 -4383 608828
3007 4898 356053
-9072 -8889 740130
4659 -4865 776839
-7497 7631 320774
3880 -4286 48637
2728 4471 568213
3152 383 218505
-7905 9901 631185
-4867 -8794 377636
-5503 9400 8086
7926 -5403 104539
-9446 6150 693509
5574 4668 993305
-1565 9048 486443
6939 3053 228038
1424 1228 481895
7252 -1419 917444
-6584 3781 934572
-1992 3623 918227
-9196 1099 751454
-6445 2229 640428
3785 9435 887824
-2145 -8360 737902
-2598 -7354 86655
-9405 5399 374972
9055 2484 682509
-7210 8931 755039
8322 -1047 223649
3666 2573 932845
-6784 48 567963
2067 -4051 193320
-4980 -2180 790259
5840 -4184 751554
8224 8469 636809
269 -4710 482962
9570 -4721 512051
2063 699 738934
7996 -7189 513559
-7661 -9227 579165
4207 1484 750684
-43 -8133 100865
-7124 8835 854628
-1906 6083 16164
-2962 5523 546304
1688 -9798 110014
3216 3517 824538
