514 129284
-6229 7253 974955
-2233 -3537 106067
5633 3156 790460
-8104 2757 112767
410 569 116857
1862 1600 905946
-3728 -1365 928753
5070 -6093 318473
5517 -4766 70805
738 2248 398396
8202 -1038 811982
5157 -3906 178368
-708 -5547 990768
-7327 -8030 600859
-1485 -7561 909238
-413 -90 843387
2117 8849 294691
-3518 -4001 102908
-5309 -2877 562504
-7969 7146 862655
-7548 -3524 191563
7535 5997 143822
4755 -2058 335464
2509 -4327 271130
3931 -9567 951652
5503 4303 388406
3012 -6357 518164
7533 1274 85996
-9638 8762 549992
2288 3428 656964
-8966 -7531 503148
-9708 9742 97569
-4738 -5548 386088
2184 -4949 42442
-2379 9863 841476
-7885 -2966 276229
4571 -8322 570249
6739 6759 836965
3681 9596 777294
-5125 2796 158235
7006 -679 425071
3749 1149 128973
6997 -6903 554002
-5641 -9380 418379
657 5652 416266
-3155 -9569 436978
3472 3047 445957
1885 -4548 319757
-5714 -7679 919413
-908 -6689 63397
-9642 -5112 403622
8629 -2902 242278
-8456 -8731 839994
-6877 -613 565488
-6457 -8050 382287
1329 -1881 889153
-7031 -5391 655502
323 4151 139022
7822 9586 660743
-9033 -1944 278568
-2359 -751 818439
5455 7009 511552
9037 -3795 832213
-5156 -5610 472921
9239 -2901 432416
-7851 4643 403498
8526 -3139 266166
7080 -5915 11318
9544 6110 984394
-9040 7263 213183
131 -6848 515733
-6424 -9572 570148
2649 -3480 561160
8154 4259 408668
7321 276 179049
-9168 676 990733
3065 4745 39273
7865 -350 378623
3103 9125 790461
-9057 259 818150
-110 -749 682905
-2439 7897 63422
8656 5505 452579
-5533 -1776 15101
-6736 316 736200
-7219 8196 7079
-5717 -8908 594759
-9416 69 531169
7313 -5480 971471
-9958 7308 574347
3719 1688 246715
-2471 1745 805965
-9259 5594 335305
-5022 -4946 137473
-952 -4954 460863
-4961 -809 256488
-3354 -8226 193578
1000 -6280 811745
-306 -6651 796206
-6222 -4784 819938
-1448 -1027 441927
8532 -3621 93922
-9474 -81 539286
-6469 -3400 274989
-4192 3038 785374
7622 -7774 479457
-4578 7583 289296
1502 -4558 401077
29 7221 460053
4313 116 23801
9259 1378 545166
1417 1600 17811
-999 4244 834910
6650 -9439 484614
-9947 -8830 756510
-3712 7910 871056
778 4551 106361
5242 5703 735345
8740 -1794 991009
-7888 -2830 219539
-9606 958 692411
-2676 1762 339160
854 5935 595453
-1958 -1100 404421
4048 3466 563743
7153 -8560 838086
2964 -6720 655238
252 3320 897435
3396 -2296 163831
1552 -4205 55130
1378 -7853 653882
-7388 -1738 184207
3759 7802 682509
-8337 213 454463
139 -2605 311615
-9758 5285 723361
-9882 5879 596178
7448 3315 739146
-5380 7892 844839
5494 -283 714386
-7927 1088 208407
-1965 9779 51244
-9004 7094 455554
737 -1619 666113
-546 -2164 931676
2590 6103 568708
8533 7373 316212
-9810 -824 387301
4772 1470 88211
-6788 -8919 710026
1820 8682 85749
5185 4205 675538
3 -9917 455454
2130 -2476 920075
-8613 9247 839384
476 -7477 430493
9993 7419 670876
-1853 -8815 785978
4717 -3702 409582
-4730 9018 918147
6600 -3597 942449
-5137 111 708165
2212 3289 982619
-1341 3311 756913
8729 -2568 129528
3729 -3488 201151
-7739 -7518 518485
6432 9543 961343
-9490 -3426 945193
3713 4382 25887
745 7600 360069
9281 -8341 33976
7682 4662 238242
-7828 5823 153783
846 2277 156655
1966 4378 805029
-5913 8836 334149
-6021 3066 368862
3737 1069 513248
-2760 -2598 10564
6135 7637 289386
6299 -7873 623873
9118 -9065 885317
2561 -5176 572940
-293 6780 310424
2138 4273 396559
1384 -554 163248
4658 -3814 995107
-8993 -8511 249974
-2956 8369 485513
4779 -2984 810249
-3183 2 17454
2592 -9459 545608
479 -1648 596663
1342 -4740 74187
9807 -4236 535334
-4979 3689 699562
-5978 4599 667409
7585 -7856 44863
6957 -1323 217722
-7168 -585 380354
-1833 -31 306216
1698 -8841 834227
-1953 8997 852613
4801 5478 151714
-9400 -1750 952237
5186 -5399 845933
-5722 -8718 289880
2415 8559 849269
-6637 7781 623078
4575 4111 574740
-6555 -3039 699667
-8846 -7406 391407
4526 1728 763406
8493 -199 330758
-3089 5911 684056
7919 -8403 512703
-6303 -4308 770693
5168 930 99252
-2622 4199 468243
-850 -2608 447640
3285 4528 606140
4291 7695 847776
-7691 -5827 840694
-7672 -9186 55899
5751 -5810 166565
1670 9051 983813
-8093 4138 423893
-8856 2525 612004
2823 -4941 285472
1105 -7744 841166
-5311 -2281 486932
-2726 -1722 974918
5477 -4343 566697
2083 733 580768
87 -6198 5215
4094 4211 572040
-8661 133 630217
-355 2502 700284
-64 -5726 341764
662 -319 410132
-4772 -2908 560918
-1260 6273 207525
-6381 3844 838988
-4010 9047 842717
5906 3773 779806
-1750 5790 303220
-3389 -3376 519678
-2273 -549 851912
9209 4543 53961
-883 3979 275616
6824 9271 906012
-8110 8700 306608
368 1505 730709
-7233 2064 195671
-4230 1701 986553
5338 -7989 909261
3438 -2985 179838
1529 1788 221515
-402 1661 835143
-3776 -7890 419519
-7833 -1579 46029
-1401 4517 838767
-1023 -9178 238554
-5188 2043 622863
5796 4524 571852
-3952 9237 963803
-4649 7690 844836
7936 -3526 753156
8674 -4214 274210
5087 7167 853786
8056 6979 929765
5182 -1343 156054
-887 8958 699941
-3471 408 943647
3812 -5802 516487
-3703 9226 244265
-4504 2981 846350
-3390 -2439 86025
7576 -7807 387856
6147 1470 549526
-4094 -9987 110353
411 2296 280031
-5532 3405 793790
-108 8865 848859
-7740 4915 959430
-3531 -7198 127536
7729 -690 578369
-7318 181 166512
2299 1496 90520
2175 -7996 607381
-506 1197 279070
6798 4850 726549
9263 -290 892162
-6966 -2659 830044
-815 5461 76792
4668 -8197 305462
7555 -6275 982312
